"sample_size","Variables","Population_Parameter_Values","Sample_Statistic_Values","Absolute_Difference"
642,"Mean Age:",19.508,19.54,0.032
642,"Mean Weight:",162.157,160.185,1.972
642,"Mean Height:",67.187,66.979,0.208
642,"Mean Number of Classes:",3.481,3.441,0.04
643,"Proportion Male:",0.435,0.414,0.021
643,"Mean Age:",19.508,19.538,0.03
643,"Mean Weight:",162.157,160.17,1.987
643,"Mean Height:",67.187,66.986,0.201
643,"Mean Number of Classes:",3.481,3.439,0.042
644,"Proportion Male:",0.435,0.415,0.02
644,"Mean Age:",19.508,19.539,0.031
644,"Mean Weight:",162.157,160.235,1.922
644,"Mean Height:",67.187,66.991,0.196
644,"Mean Number of Classes:",3.481,3.438,0.043
645,"Proportion Male:",0.435,0.416,0.019
645,"Mean Age:",19.508,19.543,0.035
645,"Mean Weight:",162.157,160.197,1.96
645,"Mean Height:",67.187,66.987,0.2
645,"Mean Number of Classes:",3.481,3.439,0.042
646,"Proportion Male:",0.435,0.416,0.019
646,"Mean Age:",19.508,19.545,0.037
646,"Mean Weight:",162.157,160.236,1.921
646,"Mean Height:",67.187,66.994,0.193
646,"Mean Number of Classes:",3.481,3.437,0.044
647,"Proportion Male:",0.435,0.416,0.019
647,"Mean Age:",19.508,19.546,0.038
647,"Mean Weight:",162.157,160.183,1.974
647,"Mean Height:",67.187,67,0.187
647,"Mean Number of Classes:",3.481,3.436,0.045
648,"Proportion Male:",0.435,0.417,0.018
648,"Mean Age:",19.508,19.546,0.038
648,"Mean Weight:",162.157,160.318,1.839
648,"Mean Height:",67.187,66.998,0.189
648,"Mean Number of Classes:",3.481,3.437,0.044
649,"Proportion Male:",0.435,0.416,0.019
649,"Mean Age:",19.508,19.542,0.034
649,"Mean Weight:",162.157,160.309,1.848
649,"Mean Height:",67.187,66.996,0.191
649,"Mean Number of Classes:",3.481,3.435,0.046
650,"Proportion Male:",0.435,0.417,0.018
650,"Mean Age:",19.508,19.54,0.032
650,"Mean Weight:",162.157,160.31,1.847
650,"Mean Height:",67.187,67.006,0.181
650,"Mean Number of Classes:",3.481,3.432,0.049
651,"Proportion Male:",0.435,0.416,0.019
651,"Mean Age:",19.508,19.536,0.028
651,"Mean Weight:",162.157,160.319,1.838
651,"Mean Height:",67.187,66.998,0.189
651,"Mean Number of Classes:",3.481,3.43,0.051
652,"Proportion Male:",0.435,0.416,0.019
652,"Mean Age:",19.508,19.534,0.026
652,"Mean Weight:",162.157,160.333,1.824
652,"Mean Height:",67.187,66.995,0.192
652,"Mean Number of Classes:",3.481,3.431,0.05
653,"Proportion Male:",0.435,0.417,0.018
653,"Mean Age:",19.508,19.536,0.028
653,"Mean Weight:",162.157,160.36,1.797
653,"Mean Height:",67.187,67.002,0.185
653,"Mean Number of Classes:",3.481,3.433,0.048
654,"Proportion Male:",0.435,0.417,0.018
654,"Mean Age:",19.508,19.54,0.032
654,"Mean Weight:",162.157,160.408,1.749
654,"Mean Height:",67.187,67.019,0.168
654,"Mean Number of Classes:",3.481,3.436,0.045
655,"Proportion Male:",0.435,0.418,0.017
655,"Mean Age:",19.508,19.54,0.032
655,"Mean Weight:",162.157,160.463,1.694
655,"Mean Height:",67.187,67.023,0.164
655,"Mean Number of Classes:",3.481,3.435,0.046
656,"Proportion Male:",0.435,0.418,0.017
656,"Mean Age:",19.508,19.538,0.03
656,"Mean Weight:",162.157,160.599,1.558
656,"Mean Height:",67.187,67.018,0.169
656,"Mean Number of Classes:",3.481,3.433,0.048
657,"Proportion Male:",0.435,0.417,0.018
657,"Mean Age:",19.508,19.542,0.034
657,"Mean Weight:",162.157,160.638,1.519
657,"Mean Height:",67.187,67.013,0.174
657,"Mean Number of Classes:",3.481,3.435,0.046
658,"Proportion Male:",0.435,0.416,0.019
658,"Mean Age:",19.508,19.544,0.036
658,"Mean Weight:",162.157,160.61,1.547
658,"Mean Height:",67.187,67.004,0.183
658,"Mean Number of Classes:",3.481,3.433,0.048
659,"Proportion Male:",0.435,0.416,0.019
659,"Mean Age:",19.508,19.542,0.034
659,"Mean Weight:",162.157,160.587,1.57
659,"Mean Height:",67.187,67.002,0.185
659,"Mean Number of Classes:",3.481,3.432,0.049
660,"Proportion Male:",0.435,0.415,0.02
660,"Mean Age:",19.508,19.538,0.03
660,"Mean Weight:",162.157,160.519,1.638
660,"Mean Height:",67.187,66.999,0.188
660,"Mean Number of Classes:",3.481,3.43,0.051
661,"Proportion Male:",0.435,0.416,0.019
661,"Mean Age:",19.508,19.534,0.026
661,"Mean Weight:",162.157,160.595,1.562
661,"Mean Height:",67.187,67.017,0.17
661,"Mean Number of Classes:",3.481,3.433,0.048
662,"Proportion Male:",0.435,0.415,0.02
662,"Mean Age:",19.508,19.535,0.027
662,"Mean Weight:",162.157,160.543,1.614
662,"Mean Height:",67.187,67.016,0.171
662,"Mean Number of Classes:",3.481,3.438,0.043
663,"Proportion Male:",0.435,0.415,0.02
663,"Mean Age:",19.508,19.534,0.026
663,"Mean Weight:",162.157,160.55,1.607
663,"Mean Height:",67.187,67.004,0.183
663,"Mean Number of Classes:",3.481,3.437,0.044
664,"Proportion Male:",0.435,0.414,0.021
664,"Mean Age:",19.508,19.536,0.028
664,"Mean Weight:",162.157,160.526,1.631
664,"Mean Height:",67.187,66.998,0.189
664,"Mean Number of Classes:",3.481,3.438,0.043
665,"Proportion Male:",0.435,0.415,0.02
665,"Mean Age:",19.508,19.535,0.027
665,"Mean Weight:",162.157,160.563,1.594
665,"Mean Height:",67.187,67.006,0.181
665,"Mean Number of Classes:",3.481,3.442,0.039
666,"Proportion Male:",0.435,0.414,0.021
666,"Mean Age:",19.508,19.539,0.031
666,"Mean Weight:",162.157,160.506,1.651
666,"Mean Height:",67.187,67.005,0.182
666,"Mean Number of Classes:",3.481,3.446,0.035
667,"Proportion Male:",0.435,0.415,0.02
667,"Mean Age:",19.508,19.538,0.03
667,"Mean Weight:",162.157,160.579,1.578
667,"Mean Height:",67.187,67.013,0.174
667,"Mean Number of Classes:",3.481,3.445,0.036
668,"Proportion Male:",0.435,0.416,0.019
668,"Mean Age:",19.508,19.536,0.028
668,"Mean Weight:",162.157,160.666,1.491
668,"Mean Height:",67.187,67.021,0.166
668,"Mean Number of Classes:",3.481,3.443,0.038
669,"Proportion Male:",0.435,0.417,0.018
669,"Mean Age:",19.508,19.537,0.029
669,"Mean Weight:",162.157,160.74,1.417
669,"Mean Height:",67.187,67.026,0.161
669,"Mean Number of Classes:",3.481,3.444,0.037
670,"Proportion Male:",0.435,0.418,0.017
670,"Mean Age:",19.508,19.533,0.025
670,"Mean Weight:",162.157,160.771,1.386
670,"Mean Height:",67.187,67.037,0.15
670,"Mean Number of Classes:",3.481,3.445,0.036
671,"Proportion Male:",0.435,0.419,0.016
671,"Mean Age:",19.508,19.534,0.026
671,"Mean Weight:",162.157,160.814,1.343
671,"Mean Height:",67.187,67.034,0.153
671,"Mean Number of Classes:",3.481,3.446,0.035
672,"Proportion Male:",0.435,0.418,0.017
672,"Mean Age:",19.508,19.536,0.028
672,"Mean Weight:",162.157,160.846,1.311
672,"Mean Height:",67.187,67.029,0.158
672,"Mean Number of Classes:",3.481,3.451,0.03
673,"Proportion Male:",0.435,0.418,0.017
673,"Mean Age:",19.508,19.536,0.028
673,"Mean Weight:",162.157,160.815,1.342
673,"Mean Height:",67.187,67.025,0.162
673,"Mean Number of Classes:",3.481,3.452,0.029
674,"Proportion Male:",0.435,0.417,0.018
674,"Mean Age:",19.508,19.537,0.029
674,"Mean Weight:",162.157,160.835,1.322
674,"Mean Height:",67.187,67.02,0.167
674,"Mean Number of Classes:",3.481,3.453,0.028
675,"Proportion Male:",0.435,0.416,0.019
675,"Mean Age:",19.508,19.539,0.031
675,"Mean Weight:",162.157,160.8,1.357
675,"Mean Height:",67.187,67.02,0.167
675,"Mean Number of Classes:",3.481,3.453,0.028
676,"Proportion Male:",0.435,0.417,0.018
676,"Mean Age:",19.508,19.543,0.035
676,"Mean Weight:",162.157,160.747,1.41
676,"Mean Height:",67.187,67.032,0.155
676,"Mean Number of Classes:",3.481,3.451,0.03
677,"Proportion Male:",0.435,0.418,0.017
677,"Mean Age:",19.508,19.547,0.039
677,"Mean Weight:",162.157,160.889,1.268
677,"Mean Height:",67.187,67.039,0.148
677,"Mean Number of Classes:",3.481,3.451,0.03
678,"Proportion Male:",0.435,0.417,0.018
678,"Mean Age:",19.508,19.547,0.039
678,"Mean Weight:",162.157,160.882,1.275
678,"Mean Height:",67.187,67.039,0.148
678,"Mean Number of Classes:",3.481,3.451,0.03
679,"Proportion Male:",0.435,0.418,0.017
679,"Mean Age:",19.508,19.546,0.038
679,"Mean Weight:",162.157,160.922,1.235
679,"Mean Height:",67.187,67.046,0.141
679,"Mean Number of Classes:",3.481,3.449,0.032
680,"Proportion Male:",0.435,0.418,0.017
680,"Mean Age:",19.508,19.547,0.039
680,"Mean Weight:",162.157,160.882,1.275
680,"Mean Height:",67.187,67.042,0.145
680,"Mean Number of Classes:",3.481,3.447,0.034
681,"Proportion Male:",0.435,0.417,0.018
681,"Mean Age:",19.508,19.546,0.038
681,"Mean Weight:",162.157,160.874,1.283
681,"Mean Height:",67.187,67.047,0.14
681,"Mean Number of Classes:",3.481,3.449,0.032
682,"Proportion Male:",0.435,0.416,0.019
682,"Mean Age:",19.508,19.543,0.035
682,"Mean Weight:",162.157,160.854,1.303
682,"Mean Height:",67.187,67.04,0.147
682,"Mean Number of Classes:",3.481,3.45,0.031
683,"Proportion Male:",0.435,0.416,0.019
683,"Mean Age:",19.508,19.546,0.038
683,"Mean Weight:",162.157,160.869,1.288
683,"Mean Height:",67.187,67.038,0.149
683,"Mean Number of Classes:",3.481,3.448,0.033
684,"Proportion Male:",0.435,0.415,0.02
684,"Mean Age:",19.508,19.544,0.036
684,"Mean Weight:",162.157,160.81,1.347
684,"Mean Height:",67.187,67.033,0.154
684,"Mean Number of Classes:",3.481,3.446,0.035
685,"Proportion Male:",0.435,0.415,0.02
685,"Mean Age:",19.508,19.54,0.032
685,"Mean Weight:",162.157,160.72,1.437
685,"Mean Height:",67.187,67.026,0.161
685,"Mean Number of Classes:",3.481,3.447,0.034
686,"Proportion Male:",0.435,0.415,0.02
686,"Mean Age:",19.508,19.539,0.031
686,"Mean Weight:",162.157,160.713,1.444
686,"Mean Height:",67.187,67.033,0.154
686,"Mean Number of Classes:",3.481,3.45,0.031
687,"Proportion Male:",0.435,0.416,0.019
687,"Mean Age:",19.508,19.541,0.033
687,"Mean Weight:",162.157,160.745,1.412
687,"Mean Height:",67.187,67.05,0.137
687,"Mean Number of Classes:",3.481,3.451,0.03
688,"Proportion Male:",0.435,0.417,0.018
688,"Mean Age:",19.508,19.545,0.037
688,"Mean Weight:",162.157,160.866,1.291
688,"Mean Height:",67.187,67.054,0.133
688,"Mean Number of Classes:",3.481,3.451,0.03
689,"Proportion Male:",0.435,0.417,0.018
689,"Mean Age:",19.508,19.547,0.039
689,"Mean Weight:",162.157,160.852,1.305
689,"Mean Height:",67.187,67.047,0.14
689,"Mean Number of Classes:",3.481,3.448,0.033
690,"Proportion Male:",0.435,0.417,0.018
690,"Mean Age:",19.508,19.546,0.038
690,"Mean Weight:",162.157,160.786,1.371
690,"Mean Height:",67.187,67.049,0.138
690,"Mean Number of Classes:",3.481,3.449,0.032
691,"Proportion Male:",0.435,0.417,0.018
691,"Mean Age:",19.508,19.548,0.04
691,"Mean Weight:",162.157,160.764,1.393
691,"Mean Height:",67.187,67.046,0.141
691,"Mean Number of Classes:",3.481,3.45,0.031
692,"Proportion Male:",0.435,0.416,0.019
692,"Mean Age:",19.508,19.545,0.037
692,"Mean Weight:",162.157,160.77,1.387
692,"Mean Height:",67.187,67.042,0.145
692,"Mean Number of Classes:",3.481,3.451,0.03
693,"Proportion Male:",0.435,0.416,0.019
693,"Mean Age:",19.508,19.543,0.035
693,"Mean Weight:",162.157,160.801,1.356
693,"Mean Height:",67.187,67.042,0.145
693,"Mean Number of Classes:",3.481,3.452,0.029
694,"Proportion Male:",0.435,0.416,0.019
694,"Mean Age:",19.508,19.543,0.035
694,"Mean Weight:",162.157,160.86,1.297
694,"Mean Height:",67.187,67.05,0.137
694,"Mean Number of Classes:",3.481,3.45,0.031
695,"Proportion Male:",0.435,0.416,0.019
695,"Mean Age:",19.508,19.544,0.036
695,"Mean Weight:",162.157,160.773,1.384
695,"Mean Height:",67.187,67.041,0.146
695,"Mean Number of Classes:",3.481,3.449,0.032
696,"Proportion Male:",0.435,0.417,0.018
696,"Mean Age:",19.508,19.546,0.038
696,"Mean Weight:",162.157,160.782,1.375
696,"Mean Height:",67.187,67.05,0.137
696,"Mean Number of Classes:",3.481,3.448,0.033
697,"Proportion Male:",0.435,0.418,0.017
697,"Mean Age:",19.508,19.547,0.039
697,"Mean Weight:",162.157,160.791,1.366
697,"Mean Height:",67.187,67.063,0.124
697,"Mean Number of Classes:",3.481,3.451,0.03
698,"Proportion Male:",0.435,0.417,0.018
698,"Mean Age:",19.508,19.546,0.038
698,"Mean Weight:",162.157,160.718,1.439
698,"Mean Height:",67.187,67.059,0.128
698,"Mean Number of Classes:",3.481,3.453,0.028
699,"Proportion Male:",0.435,0.418,0.017
699,"Mean Age:",19.508,19.549,0.041
699,"Mean Weight:",162.157,160.787,1.37
699,"Mean Height:",67.187,67.065,0.122
699,"Mean Number of Classes:",3.481,3.452,0.029
700,"Proportion Male:",0.435,0.417,0.018
700,"Mean Age:",19.508,19.546,0.038
700,"Mean Weight:",162.157,160.817,1.34
700,"Mean Height:",67.187,67.063,0.124
700,"Mean Number of Classes:",3.481,3.451,0.03
701,"Proportion Male:",0.435,0.418,0.017
701,"Mean Age:",19.508,19.549,0.041
701,"Mean Weight:",162.157,160.764,1.393
701,"Mean Height:",67.187,67.062,0.125
701,"Mean Number of Classes:",3.481,3.451,0.03
702,"Proportion Male:",0.435,0.417,0.018
702,"Mean Age:",19.508,19.546,0.038
702,"Mean Weight:",162.157,160.73,1.427
702,"Mean Height:",67.187,67.06,0.127
702,"Mean Number of Classes:",3.481,3.449,0.032
703,"Proportion Male:",0.435,0.418,0.017
703,"Mean Age:",19.508,19.549,0.041
703,"Mean Weight:",162.157,160.76,1.397
703,"Mean Height:",67.187,67.058,0.129
703,"Mean Number of Classes:",3.481,3.451,0.03
704,"Proportion Male:",0.435,0.419,0.016
704,"Mean Age:",19.508,19.553,0.045
704,"Mean Weight:",162.157,160.89,1.267
704,"Mean Height:",67.187,67.074,0.113
704,"Mean Number of Classes:",3.481,3.455,0.026
705,"Proportion Male:",0.435,0.42,0.015
705,"Mean Age:",19.508,19.549,0.041
705,"Mean Weight:",162.157,160.991,1.166
705,"Mean Height:",67.187,67.085,0.102
705,"Mean Number of Classes:",3.481,3.455,0.026
706,"Proportion Male:",0.435,0.421,0.014
706,"Mean Age:",19.508,19.547,0.039
706,"Mean Weight:",162.157,161.067,1.09
706,"Mean Height:",67.187,67.088,0.099
706,"Mean Number of Classes:",3.481,3.453,0.028
707,"Proportion Male:",0.435,0.42,0.015
707,"Mean Age:",19.508,19.546,0.038
707,"Mean Weight:",162.157,161.079,1.078
707,"Mean Height:",67.187,67.085,0.102
707,"Mean Number of Classes:",3.481,3.455,0.026
708,"Proportion Male:",0.435,0.419,0.016
708,"Mean Age:",19.508,19.544,0.036
708,"Mean Weight:",162.157,161.073,1.084
708,"Mean Height:",67.187,67.078,0.109
708,"Mean Number of Classes:",3.481,3.456,0.025
709,"Proportion Male:",0.435,0.419,0.016
709,"Mean Age:",19.508,19.547,0.039
709,"Mean Weight:",162.157,161.101,1.056
709,"Mean Height:",67.187,67.089,0.098
709,"Mean Number of Classes:",3.481,3.458,0.023
710,"Proportion Male:",0.435,0.418,0.017
710,"Mean Age:",19.508,19.549,0.041
710,"Mean Weight:",162.157,161.066,1.091
710,"Mean Height:",67.187,67.088,0.099
710,"Mean Number of Classes:",3.481,3.461,0.02
711,"Proportion Male:",0.435,0.419,0.016
711,"Mean Age:",19.508,19.546,0.038
711,"Mean Weight:",162.157,161.128,1.029
711,"Mean Height:",67.187,67.099,0.088
711,"Mean Number of Classes:",3.481,3.463,0.018
712,"Proportion Male:",0.435,0.42,0.015
712,"Mean Age:",19.508,19.544,0.036
712,"Mean Weight:",162.157,161.188,0.969
712,"Mean Height:",67.187,67.102,0.085
712,"Mean Number of Classes:",3.481,3.466,0.015
713,"Proportion Male:",0.435,0.419,0.016
713,"Mean Age:",19.508,19.547,0.039
713,"Mean Weight:",162.157,161.268,0.889
713,"Mean Height:",67.187,67.102,0.085
713,"Mean Number of Classes:",3.481,3.47,0.011
714,"Proportion Male:",0.435,0.419,0.016
714,"Mean Age:",19.508,19.545,0.037
714,"Mean Weight:",162.157,161.225,0.932
714,"Mean Height:",67.187,67.103,0.084
714,"Mean Number of Classes:",3.481,3.471,0.01
715,"Proportion Male:",0.435,0.418,0.017
715,"Mean Age:",19.508,19.547,0.039
715,"Mean Weight:",162.157,161.159,0.998
715,"Mean Height:",67.187,67.103,0.084
715,"Mean Number of Classes:",3.481,3.473,0.008
716,"Proportion Male:",0.435,0.419,0.016
716,"Mean Age:",19.508,19.545,0.037
716,"Mean Weight:",162.157,161.293,0.864
716,"Mean Height:",67.187,67.111,0.076
716,"Mean Number of Classes:",3.481,3.471,0.01
717,"Proportion Male:",0.435,0.418,0.017
717,"Mean Age:",19.508,19.548,0.04
717,"Mean Weight:",162.157,161.298,0.859
717,"Mean Height:",67.187,67.106,0.081
717,"Mean Number of Classes:",3.481,3.471,0.01
718,"Proportion Male:",0.435,0.419,0.016
718,"Mean Age:",19.508,19.549,0.041
718,"Mean Weight:",162.157,161.387,0.77
718,"Mean Height:",67.187,67.109,0.078
718,"Mean Number of Classes:",3.481,3.469,0.012
719,"Proportion Male:",0.435,0.42,0.015
719,"Mean Age:",19.508,19.545,0.037
719,"Mean Weight:",162.157,161.428,0.729
719,"Mean Height:",67.187,67.108,0.079
719,"Mean Number of Classes:",3.481,3.469,0.012
720,"Proportion Male:",0.435,0.419,0.016
720,"Mean Age:",19.508,19.543,0.035
720,"Mean Weight:",162.157,161.403,0.754
720,"Mean Height:",67.187,67.103,0.084
720,"Mean Number of Classes:",3.481,3.468,0.013
721,"Proportion Male:",0.435,0.42,0.015
721,"Mean Age:",19.508,19.546,0.038
721,"Mean Weight:",162.157,161.36,0.797
721,"Mean Height:",67.187,67.105,0.082
721,"Mean Number of Classes:",3.481,3.47,0.011
722,"Proportion Male:",0.435,0.421,0.014
722,"Mean Age:",19.508,19.55,0.042
722,"Mean Weight:",162.157,161.392,0.765
722,"Mean Height:",67.187,67.11,0.077
722,"Mean Number of Classes:",3.481,3.471,0.01
723,"Proportion Male:",0.435,0.422,0.013
723,"Mean Age:",19.508,19.55,0.042
723,"Mean Weight:",162.157,161.422,0.735
723,"Mean Height:",67.187,67.11,0.077
723,"Mean Number of Classes:",3.481,3.469,0.012
724,"Proportion Male:",0.435,0.423,0.012
724,"Mean Age:",19.508,19.551,0.043
724,"Mean Weight:",162.157,161.512,0.645
724,"Mean Height:",67.187,67.109,0.078
724,"Mean Number of Classes:",3.481,3.467,0.014
725,"Proportion Male:",0.435,0.422,0.013
725,"Mean Age:",19.508,19.55,0.042
725,"Mean Weight:",162.157,161.492,0.665
725,"Mean Height:",67.187,67.1,0.087
725,"Mean Number of Classes:",3.481,3.468,0.013
726,"Proportion Male:",0.435,0.421,0.014
726,"Mean Age:",19.508,19.552,0.044
726,"Mean Weight:",162.157,161.469,0.688
726,"Mean Height:",67.187,67.107,0.08
726,"Mean Number of Classes:",3.481,3.47,0.011
727,"Proportion Male:",0.435,0.422,0.013
727,"Mean Age:",19.508,19.554,0.046
727,"Mean Weight:",162.157,161.511,0.646
727,"Mean Height:",67.187,67.106,0.081
727,"Mean Number of Classes:",3.481,3.469,0.012
728,"Proportion Male:",0.435,0.423,0.012
728,"Mean Age:",19.508,19.556,0.048
728,"Mean Weight:",162.157,161.559,0.598
728,"Mean Height:",67.187,67.111,0.076
728,"Mean Number of Classes:",3.481,3.473,0.008
729,"Proportion Male:",0.435,0.422,0.013
729,"Mean Age:",19.508,19.56,0.052
729,"Mean Weight:",162.157,161.552,0.605
729,"Mean Height:",67.187,67.11,0.077
729,"Mean Number of Classes:",3.481,3.475,0.006
730,"Proportion Male:",0.435,0.423,0.012
730,"Mean Age:",19.508,19.559,0.051
730,"Mean Weight:",162.157,161.533,0.624
730,"Mean Height:",67.187,67.113,0.074
730,"Mean Number of Classes:",3.481,3.477,0.004
731,"Proportion Male:",0.435,0.423,0.012
731,"Mean Age:",19.508,19.555,0.047
731,"Mean Weight:",162.157,161.558,0.599
731,"Mean Height:",67.187,67.114,0.073
731,"Mean Number of Classes:",3.481,3.475,0.006
732,"Proportion Male:",0.435,0.422,0.013
732,"Mean Age:",19.508,19.559,0.051
732,"Mean Weight:",162.157,161.552,0.605
732,"Mean Height:",67.187,67.108,0.079
732,"Mean Number of Classes:",3.481,3.477,0.004
733,"Proportion Male:",0.435,0.422,0.013
733,"Mean Age:",19.508,19.555,0.047
733,"Mean Weight:",162.157,161.49,0.667
733,"Mean Height:",67.187,67.104,0.083
733,"Mean Number of Classes:",3.481,3.476,0.005
734,"Proportion Male:",0.435,0.421,0.014
734,"Mean Age:",19.508,19.556,0.048
734,"Mean Weight:",162.157,161.443,0.714
734,"Mean Height:",67.187,67.092,0.095
734,"Mean Number of Classes:",3.481,3.477,0.004
735,"Proportion Male:",0.435,0.42,0.015
735,"Mean Age:",19.508,19.555,0.047
735,"Mean Weight:",162.157,161.37,0.787
735,"Mean Height:",67.187,67.088,0.099
735,"Mean Number of Classes:",3.481,3.475,0.006
736,"Proportion Male:",0.435,0.42,0.015
736,"Mean Age:",19.508,19.557,0.049
736,"Mean Weight:",162.157,161.312,0.845
736,"Mean Height:",67.187,67.08,0.107
736,"Mean Number of Classes:",3.481,3.476,0.005
737,"Proportion Male:",0.435,0.421,0.014
737,"Mean Age:",19.508,19.558,0.05
737,"Mean Weight:",162.157,161.37,0.787
737,"Mean Height:",67.187,67.079,0.108
737,"Mean Number of Classes:",3.481,3.475,0.006
738,"Proportion Male:",0.435,0.42,0.015
738,"Mean Age:",19.508,19.56,0.052
738,"Mean Weight:",162.157,161.376,0.781
738,"Mean Height:",67.187,67.066,0.121
738,"Mean Number of Classes:",3.481,3.473,0.008
739,"Proportion Male:",0.435,0.419,0.016
739,"Mean Age:",19.508,19.562,0.054
739,"Mean Weight:",162.157,161.395,0.762
739,"Mean Height:",67.187,67.069,0.118
739,"Mean Number of Classes:",3.481,3.471,0.01
740,"Proportion Male:",0.435,0.419,0.016
740,"Mean Age:",19.508,19.558,0.05
740,"Mean Weight:",162.157,161.365,0.792
740,"Mean Height:",67.187,67.074,0.113
740,"Mean Number of Classes:",3.481,3.469,0.012
741,"Proportion Male:",0.435,0.418,0.017
741,"Mean Age:",19.508,19.561,0.053
741,"Mean Weight:",162.157,161.346,0.811
741,"Mean Height:",67.187,67.066,0.121
741,"Mean Number of Classes:",3.481,3.47,0.011
742,"Proportion Male:",0.435,0.418,0.017
742,"Mean Age:",19.508,19.561,0.053
742,"Mean Weight:",162.157,161.323,0.834
742,"Mean Height:",67.187,67.063,0.124
